,id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link,abstract
10,US-2017197973-A1,Immunoregulatory agents ,"Flexus Biosciences, Inc.","Hilary Plake BECK, Juan Carlos Jaen, Maksim Osipov, Jay Patrick Powers, Maureen Kay Reilly, Hunter Paul Shunatona, James Ross Walker, Mikhail Zibinsky, James Aaron Balog, David K. Williams, Jay A. Markwalder, Emily Charlotte Cherney, Weifang Shan, Audris Huang",2014-11-05,2017-03-27,2017-07-13,,https://patents.google.com/patent/US20170197973A1/en,https://patentimages.storage.googleapis.com/7a/70/de/ba73b8dec31373/US20170197973A1-20170713-D00001.png,"Compounds that modulate the oxidoreductase enzyme indoleamine 2,3-dioxygenase, and compositions containing the compounds, are described herein. The use of such compounds and compositions for the treatment and/or prevention of a diverse array of diseases, disorders and conditions, including cancer- and immune-related disorders, that are mediated by indoleamine 2,3-dioxygenase is also provided."
11,US-8765170-B2,Personal care composition in the form of an article ,The Procter & Gamble Company,"Robert Wayne Glenn, Jr., Christopher Todd Morrissey, Lee Arnold Schechtman, Renee Danielle Bolden, Kathleen Mary Kaufman, Lisa Jo Bartz, Thomas Edward Dufresne, Darren Paul Trokhan, James Merle Heinrich",2008-01-30,2009-01-29,2014-07-01,2014-07-01,https://patents.google.com/patent/US8765170B2/en,https://patentimages.storage.googleapis.com/64/6d/3c/21ebb16cd8f501/US08765170-20140701-D00000.png,"Personal care compositions, especially those personal care compositions in the form of an article that is a porous, dissolvable solid structure."
12,US-RE44695-E,Dual electrode system for a continuous analyte sensor ,"Dexcom, Inc.","Peter C. Simpson, James H. Brauker, Paul V. Goode, Apurv Ullas Kamath, James R. Petisce",2003-12-05,2012-05-01,2014-01-07,2014-01-07,https://patents.google.com/patent/USRE44695E1/en,https://patentimages.storage.googleapis.com/0e/89/38/fd15eb9360df17/USRE044695-20140107-D00000.png,"Disclosed herein are systems and methods for a continuous analyte sensor, such as a continuous glucose sensor. One such system utilizes first and second working electrodes to measure analyte or non-analyte related signal, both of which electrode include an interference domain."
13,US-6852801-B1,Adhesives for bonding composites ,Ips Corporation,"Paul C. Briggs, Masaki Minato, Samuel B. Osae",2001-07-10,2003-08-05,2005-02-08,2005-02-08,https://patents.google.com/patent/US6852801B1/en,,"An adhesive composition, including a mixture of about 1 percent to about 35 percent by weight of chlorinated polymer, about 1 percent to about 35 percent by weight of a nitrile elastomer, a rubber-modified acrylonitrile copolymer, or mixtures thereof, about 25 percent to about 90 percent by weight of an alkyl acrylate or methacrylate monomer and about 0.01 to about 30 weight percent of a core shell impact modifier."
14,US-8574672-B2,Polyester polymer and coating compositions thereof ,"Valspar Sourcing, Inc.","Nicolas Doreau, Benoit Prouvost, Paul Stenson, Charles Skillman, Paul Share",2008-11-26,2011-05-24,2013-11-05,2013-11-05,https://patents.google.com/patent/US8574672B2/en,,"A polymer and coating compositions containing the polymer are provided that are useful in coating applications such as, for example, food or beverage packaging coatings. The polymer preferably includes a polyester backbone and at least one deblockable isocyanate group attached to the backbone. In one embodiment, the polymer includes a polyester-carbamate backbone, one or more pendant deblockable isocyanate groups, and one or more terminal or pendant isocyanate-reactive groups. The deblockable isocyanate groups may be provided, for example, through use of a partially blocked polyisocyanate."
15,US-10441595-B2,Methods for treating fungal infections ,Brigham Young University,"Carl Genberg, Chad S. Beus, Paul B. Savage",2014-06-26,2015-06-25,2019-10-15,2019-10-15,https://patents.google.com/patent/US10441595B2/en,,"Disclosed herein are methods of treating fungal infections in a patient, comprising identifying a patient in need of treatment and administering a therapeutically effective amount of at least one cationic steroid antimicrobial (CSA), or a pharmaceutically acceptable salt thereof. Kits comprising such compositions and instructions on such methods are also contemplated herein."
16,US-8633034-B2,Methods for evaluating the aggregation of a protein in a suspension including organopolysiloxane and medical articles coated with organopolysiloxane containing a protein solution ,"Becton, Dickinson And Company, The Regents Of The University Of Colorado","Joseph T. Trotter, Jean-Bernard Hamel, John Frank Carpenter, Theodore Randolph, John Paul Gabrielson",2007-06-25,2008-10-22,2014-01-21,2014-01-21,https://patents.google.com/patent/US8633034B2/en,https://patentimages.storage.googleapis.com/e8/88/fa/2155585658143d/US08633034-20140121-D00000.png,This invention relates to methods for evaluating or inhibiting the aggregation of a protein in an aqueous suspension including organopolysiloxane and medical articles coated with organopolysiloxane containing a protein solution including sugar and a non-ionic surfactant.
17,US-7645802-B2,Bupropion hydrobromide and therapeutic applications ,Biovail Laboratories International Srl.,"Werner Oberegger, Paul Maes, Mohammad Ashty Saleh, Graham Jackson",2005-06-27,2007-10-31,2010-01-12,2010-01-12,https://patents.google.com/patent/US7645802B2/en,,Bupropion hydrobromide formulations as well as their use for the treatment of conditions is described.
18,US-2020197460-A1,Gold kiwifruit compositions and methods of preparation and use therefor ,Anagenix Ip Limited,"Juliet ANSELL, Paul BLATCHFORD",2014-11-28,2019-11-06,2020-06-25,,https://patents.google.com/patent/US20200197460A1/en,https://patentimages.storage.googleapis.com/3e/dd/70/55993343df63ff/US20200197460A1-20200625-D00000.png,"The present disclosure encompasses compositions prepared from kiwifruit. In particular, the invention encompasses compositions prepared from gold varieties of Actinidia chinensis. Also encompassed are methods of preparing these compositions. Further encompassed are methods of using these compositions, in particular, for treating or preventing disorders of the gastrointestinal system, including amongst others: inflammation, constipation, bowel irregularity, microbiota imbalances, irritable bowel syndrome, and inflammatory bowel disease."
19,US-8142784-B2,Antibody-drug conjugates and methods ,"Genentech, Inc.","Allen J. Ebens, Jr., Frederic S. Jacobson, Paul Polakis, Ralph H. Schwall, Mark X. Sliwkowski, Susan D. Spencer",2004-06-01,2008-12-02,2012-03-27,2012-03-27,https://patents.google.com/patent/US8142784B2/en,https://patentimages.storage.googleapis.com/f8/c6/4a/51fc06fc8182f0/US08142784-20120327-D00001.png,"The present invention relates to antibody-drug conjugate compounds of Formula I:

Ab-(L-D)pââI
    where one or more maytansinoid drug moieties (D) are covalently linked by L to an antibody (Ab) which binds to an ErbB receptor, or which binds to one or more tumor-associated antigens or cell-surface receptors. These compounds may be used in methods of diagnosis or treatment of cancer, and other diseases and disorders."
20,US-8148521-B2,Arthropodicidal anthranilamides ,E.I. Du Pont De Nemours And Company,"George Philip Lahm, Thomas Paul Selby, Thomas Martin Stevenson",2001-08-13,2011-01-31,2012-04-03,2012-04-03,https://patents.google.com/patent/US8148521B2/en,,"This invention provides compounds of Formula 1, their N-oxides and agriculturally suitable salts
          
wherein
    R1, R2, R3, R4a, R4b and R5 are as defined in the disclosure.   
Also disclosed are methods for controlling invertebrate pests comprising contacting the invertebrate pests or their environment with a biologically effective amount of a compound of Formula 1 or a composition comprising a compound of Formula 1."
21,US-9435124-B2,Cementitious exterior sheathing product having improved interlaminar bond strength ,"Plycem Usa, Inc.","William Paul Bezubic, Jr.",2002-11-05,2012-04-04,2016-09-06,2016-09-06,https://patents.google.com/patent/US9435124B2/en,https://patentimages.storage.googleapis.com/cc/78/4c/23d612287d12be/US09435124-20160906-D00000.png,"The present invention provides exterior building products, such as roofing and siding, shake, shingles, siding, sheathing, panels, planks, vertical siding, soffit panels, fencing, decking, fascia, corner posts, column corners and trim boards in which a plurality of cementitious layers are provided with an improved interlaminar bond by employing a resinous bond promoter, a rheological agent, mechanical means to distribute fibers in a direction which is perpendicular to the machine direction so as to bridge between layers in the product, or a combination thereof. These techniques help to increase interlaminar bond strength to improve the mechanical properties of the product. When certain resinous bond promoters are used, the additional benefits of water absorption resistance and pigmentation throughout the product can be provided with minimal expense. Improvements in interlaminar bond strength of about 10 46% were observed with a percent elongation improvement of about 7%."
22,US-8829195-B2,"Compounds and compositions for inhibiting the activity of ABL1, ABL2 and BCR-ABL1 ",Novartis Ag,"Stephanie Kay Dodd, Pascal Furet, Robert Martin GROTZFELD, Wolfgang Jahnke, Darryl Brynley JONES, Paul William Manley, Andreas Marzinzik, Xavier Francois Andre PELLE, Bahaa SALEM, Joseph Schoepfer",2012-05-15,2013-05-13,2014-09-09,2014-09-09,https://patents.google.com/patent/US8829195B2/en,https://patentimages.storage.googleapis.com/d3/69/1a/44f9b162181bd5/US08829195-20140909-D00000.png,"The present invention relates to compounds of formula (I):




 
 


 


in which Y, Y1, R1, R2, R3 and R4 are defined in the Summary of the Invention; capable of inhibiting the activity of BCR-ABL1 and mutants thereof. The invention further provides a process for the preparation of compounds of the invention, pharmaceutical preparations comprising such compounds and methods of using such compounds in the treatment of cancers."
23,US-10647764-B2,"Agents, uses and methods for the treatment of synucleinopathy ",H. Lundbeck A/S,"Pekka Kallunki, Karina Fog, Louise Buur Vesterager, Ann-Louise Bergstrôm, Florence Sotty, David Satijn, Edward VAN DEN BRINK, Paul Parren, Rik RADEMAKER, Tom Vink, Ibrahim John Malik, Liliana Christina Pereira Montezinho",2015-07-13,2019-06-17,2020-05-12,2020-05-12,https://patents.google.com/patent/US10647764B2/en,https://patentimages.storage.googleapis.com/69/5e/1f/58591a10f21bcf/US10647764-20200512-D00001.png,"The invention relates to novel monoclonal anti-alpha-synuclein antibodies. The antibodies can be used for treating a synucleinopathy such as Parkinson's disease (including idiopathic and inherited forms of Parkinson's disease), Diffuse Lewy Body Disease (DLBD), Lewy body variant of Alzheimer's disease (LBV), Combined Alzheimer's and Parkinson disease, pure autonomic failure and multiple system atrophy."
24,US-2021338810-A1,Novel Adjuvant Compositions ,Zoetis Services Llc,"Paul Joseph Dominowski, Ramasamy Mannar Mannan, Richard Lee Krebs, James Richard Thompson, Tedd Alan Childers, Mary Kathryn Olsen, Robert John Yancey, JR., Risini Dhammika Weeratna, Shucheng Zhang, Cedo Martin Bagi",2008-06-27,2021-03-08,2021-11-04,,https://patents.google.com/patent/US20210338810A1/en,https://patentimages.storage.googleapis.com/28/02/df/04802c36c681aa/US20210338810A1-20211104-D00001.png,"This invention relates to adjuvant formulations comprising various combinations of triterpenoids, sterols, immunomodulators, polymers, and Th2 stimulators; methods for making the adjuvant compositions; and the use of the adjuvant formulations in immunogenic and vaccine compositions with different antigens. This invention further relates to the use of the formulations in the treatment of animals."
25,US-10047095-B2,sGC stimulators ,"Ironwood Pharmaceuticals, Inc.","Nicholas Perl, Takashi Nakai, Thomas Wai-Ho Lee, Glen Robert RENNIE, Paul Allan Renhowe, Rajesh R. Iyengar",2014-09-17,2015-09-16,2018-08-14,2018-08-14,https://patents.google.com/patent/US10047095B2/en,,"The present patent application discloses at least the compounds according to Formula Iâ² shown below, or pharmaceutically acceptable salts thereof,
          
wherein ring D, ring A, ring E, ring F, JB, n, JD, J, o, RC1, RC2, W, JE, r, JF, s, Z1, Z2 and Z3 are as defined herein."
26,US-2009075822-A1,Method of Altering the Alkaloid Composition in Poppy Plants ,Glaxosmithkline Australia Pty Ltd,Paul Cotterill,2004-05-06,2005-05-06,2009-03-19,,https://patents.google.com/patent/US20090075822A1/en,,"The method of altering the alkaloid composition of a poppy plant comprising the step of applying an effective amount of acylcyclohexanedione compound or agriculturally acceptable salt thereof to said poppy plant or locus thereof. Further, the present invention also provides the method of altering the alkaloid composition of a poppy plant comprising the step of applying an effective amount of methyl jasmonate or agriculturally acceptable salt thereof to said poppy plant or locus thereof."
27,US-2020181425-A1,Corrosion Inhibitors and Coating Compositions Containing the Same ,"Ppg Industries Ohio, Inc.","Jonathan Paul Breon, Ljiljana Maksimovic, Robert Ennis Jennings, Joseph Burchick, John Robert Schneider",2015-09-03,2020-02-18,2020-06-11,,https://patents.google.com/patent/US20200181425A1/en,,"A corrosion inhibitor can include (a) an inorganic alkali and/or alkaline earth metal compound and (b) an aldehyde and/or ketone component comprising at least one aromatic ring comprising a ketone and/or aldehyde group and at least one pendant group represented by âOR1. Each R1 is independently selected from hydrogen, an alkyl group, or an aryl group. The coating composition can be used in a multi-layer coating with additional coating layers. Methods of preparing coating compositions with corrosion inhibitors and substrates at least partially coating with such compositions are also included."
28,US-8557737-B2,Methods of altering poppy characteristics ,"GlaxoSmithKline Australia, Pty, Ltd",Paul Cotterill,2005-08-23,2006-08-17,2013-10-15,2013-10-15,https://patents.google.com/patent/US8557737B2/en,,The present invention relates to the use of sulfonylurea compounds to alter physical and/or growth characteristics of poppy plants.
29,US-9566225-B2,Products and methods for disclosing conditions in the oral cavity ,The Procter & Gamble Company,"Paul Albert Sagel, Cloyd Dixon, Jr., Ivo Kunath, Martin Haas, Jens Uwe Stoerkel, Armin Andreas Tschol, Lucy Abigail Zimmermann, Steffi Raehse",2006-11-13,2007-11-12,2017-02-14,2017-02-14,https://patents.google.com/patent/US9566225B2/en,https://patentimages.storage.googleapis.com/39/f7/eb/d7ffc6c20bb3c6/US09566225-20170214-D00001.png,An oral composition capable of identifying a condition within the oral cavity by causing a visual contrast between the condition and the hard and soft tissues of the oral cavity has at least one disclosing agent. The disclosing agent can fluoresce in order to highlight conditions within the oral cavity.
30,US-9354174-B2,Biosensor using whispering gallery modes in microspheres ,Genera Biosystems Limited,"Karl Poetter, Brendan Toohey, Paul Mulvaney",2004-05-26,2013-02-22,2016-05-31,2016-05-31,https://patents.google.com/patent/US9354174B2/en,https://patentimages.storage.googleapis.com/66/da/e9/8b16b9771331dc/US09354174-20160531-D00000.png,"A biosensor for detecting the presence of a target analyte is disclosed. The biosensor is formed from microspheroidal particles which have had a binding partner for the target analyte immobilized on their surfaces. The binding partners may be nucleotides; peptides, proteins, enzymes, antibodies and so on. When the analyte binds to its partner, the whispering gallery mode (WGM) profiles of the micro spheroidal particles change such that the profile peaks undergo a red- or blue-shift. The immobilized binding partners may include fluorophores and the like so that they emit fluorescence, phosphorescence, incandescence and the like. These fluorophores may take the form of a nanocrystal or quantum dot."
31,US-9089493-B2,Skin care composition ,The Procter & Gamble Company,"Robert John Elsbrock, Paul Robert Tanner, Juliet Ann Jones",2005-09-16,2005-09-16,2015-07-28,2015-07-28,https://patents.google.com/patent/US9089493B2/en,https://patentimages.storage.googleapis.com/dc/30/f3/79229c21eb0f7e/US09089493-20150728-D00001.png,"Skin care composition comprising a plurality of interference pigments and a dermatologically acceptable carrier. The plurality comprises at least a first interference pigment which reflects a first color, and at least a second interference pigment which reflects a second, complementary color. The total amount of interference pigments is from about 0.1% to about 10%."
32,US-2018133846-A1,Precipitation strengthened nickel based welding material for fusion welding of superalloys ,Liburdi Engineering Limited,"Alexander B. Goncharov, Joseph Liburdi, Paul Lowden",2013-12-24,2018-01-11,2018-05-17,,https://patents.google.com/patent/US20180133846A1/en,https://patentimages.storage.googleapis.com/99/bc/f5/71eff71e2d6409/US20180133846A1-20180517-D00001.png,"A precipitation strengthened nickel based welding material that comprises 5-15 wt. % Co, 5-25 wt. % Cr, 1-6 wt. % Al, 0.05-0.2 wt. % C, 0.015-0.4 wt. % B, 1-3 wt. % Si, chemical elements selected from among tungsten and molybdenum from about 1 to 20 wt. %, chemical elements selected from among titanium, zirconium, hafnium, tantalum and rhenium from about 1 to 18 wt. % and nickel with impurities to balance, wherein the boron content is inversely proportional to silicon content and decreases from about 0.3 wt. % to about 0.015 wt. % when silicon content increases from about 1 wt. % to about 3 wt. % produces sound high strength and high oxidation resistance crack free welds on precipitation strengthened superalloys and single crystal materials."
33,US-7534595-B2,Compositions of prokaryotic phenylalanine ammonia-lyase and methods of using compositions thereof ,Biomarin Pharmaceutical Inc.,"Michel Claude Vellard, Paul Andrew Fitzpatrick, Emil D. Kakkis, Daniel J. Wendt",2006-06-12,2007-05-25,2009-05-19,2009-05-19,https://patents.google.com/patent/US7534595B2/en,https://patentimages.storage.googleapis.com/73/96/cd/9dc4c14a32a448/US07534595-20090519-D00008.png,"The present invention is directed to phenylalanine ammonia-lyase (PAL) produced by prokaryotes, wherein such prokaryotic PAL wherein the PAL variant has a greater phenylalanine-converting activity and/or a reduced immunogenicity as compared to a wild-type PAL. The invention thus provides compositions of bacterial PAL and biologically active fragments, mutants, variants and analogs thereof, as well as methods for the production, purification, and use of such compositions for therapeutic and industrial purposes."
34,US-7910203-B2,Selectively metallized heat transfer label ,Illinois Tool Works Inc.,"Michael B. Colella, Paul Giusto, Eileen M. Norris",2006-09-08,2007-08-31,2011-03-22,2011-03-22,https://patents.google.com/patent/US7910203B2/en,https://patentimages.storage.googleapis.com/c0/74/ce/62992532815845/US07910203-20110322-D00000.png,"A selectively metallized heat transfer label for transfer to a substrate includes a support portion having a carrier layer and a release layer applied to the carrier layer, and a transfer portion including a protective layer applied to the release layer, a metallizable layer applied to the protective layer, a metal layer applied to the metallizable layer, a metal transferring adhesive layer applied to the metal layer and configured to adhere to both the metal layer and the desired substrate and a non-metal transferring ink layer applied to the metal layer and configured to adhere to the desired substrate but not to the metal layer. When heat and pressure are applied to the carrier, the metal transferring adhesive adheres to both the metal layer and the substrate while the non-transferring ink layer adheres only to the substrate."
35,US-7790433-B2,Compositions of prokaryotic phenylalanine ammonia-lyase and methods of treating cancer using compositions thereof ,Biomarin Pharmaceutical Inc.,"Emil D. Kakkis, Paul A. Fitzpatrick, Daniel J. Wendt, Sean M. Bell, Augustus O. Okhamafe",2007-08-17,2009-04-09,2010-09-07,2010-09-07,https://patents.google.com/patent/US7790433B2/en,https://patentimages.storage.googleapis.com/25/5e/ec/04abc978aa19e6/US07790433-20100907-D00001.png,"The present invention is directed to phenylalanine ammonia-lyase (PAL) variants produced by prokaryotes, wherein such prokaryotic PAL variant has a greater phenylalanine-converting activity and/or a reduced immunogenicity as compared to a wild-type PAL. The invention provides compositions of prokaryotic PAL and biologically active fragments, mutants, variants or analogs thereof, as well as methods for the production, purification, and use of such compositions for therapeutic purposes, including the treatment of cancer."
36,US-2021085778-A1,Parenteral norovirus vaccine formulations ,"Takeda Vaccines, Inc.","Charles Richardson, Thomas S. Foubert, Robert F. Bargatze, Paul Mendelman",2011-07-11,2020-06-05,2021-03-25,,https://patents.google.com/patent/US20210085778A1/en,https://patentimages.storage.googleapis.com/36/e9/d9/7789f77ddaaf8d/US20210085778A1-20210325-D00001.png,The present invention relates to single dose parenteral vaccine compositions comprising mixtures of monovalent Norovirus virus-like particles. Methods of conferring protective immunity against Norovirus infections in a human subject by administering such compositions are also disclosed.
37,US-2009275570-A1,"Substituted heterocycles and their use as chk1, pdk1 and pak inhibitors ",Astrazeneca Ab,"Kevin Daly, Nicola Heron, Alexander Hird, Stephanos Ioannidis, James Janetka, Paul Lyne, Jaime Scott, Dorin Toader, Melissa Vasbinder, Dingwei Yu, Yan Yu",2005-04-06,2006-04-05,2009-11-05,,https://patents.google.com/patent/US20090275570A1/en,,"The invention relates to novel compounds of Formula (I) and to their pharmaceutical compositions and to their methods of use. These novel compounds possess CHK1 kinase inhibitory activity, PDK1 inhibitory activity and Pak kinase inhibitory activity and are accordingly useful in the treatment and/or prophylaxis of cancer."
38,US-8479656-B2,Water based paintball and method for fabricating water based paintballs ,"Hydro-Caps, Llc","Paul M. Ciesiun, Ronnie E. Bayless",2005-02-05,2009-10-20,2013-07-09,2013-07-09,https://patents.google.com/patent/US8479656B2/en,https://patentimages.storage.googleapis.com/86/e6/cc/fbe878e99c504a/US08479656-20130709-D00000.png,"A paintball includes first and second half shell portions, each with a recess that can hold liquid containing dyes or other marking pigments. The liquid in the second half shell portion is relatively viscous, or becomes so after being placed in the second shell portion. The second shell portion can then be inverted and the liquid will stay within it. Neither shell portion includes a barrier to hold the liquids in place. The second half shell portion can then be placed on and joined with the first half shell portion to form a paintball."
39,US-2008274505-A1,"Polynucleotide encoding a novel TRP channel family member, LTRPC3, and splice variants thereof ",Bristol-Myers Squibb Company,"Ning Lee, Jian Chen, John N. Feder, Shujian Wu, Liana M. Lee, Michael A. Blanar, David Bol, Paul C. Lavesque, Lucy Sun",2001-08-02,2008-05-15,2008-11-06,,https://patents.google.com/patent/US20080274505A1/en,https://patentimages.storage.googleapis.com/US20080274505A1/US20080274505A1-20081106-D00001.png,"The present invention provides novel polynucleotides encoding LTRPC3 polypeptides, fragments and homologues thereof. The present invention also provides polynucleotides encoding variants and splice variants of LTRPC3 polypeptides, LTRPC3b, LTRPC3c, LTRPC3d, LTRPC3e, and LTRPC3f, respectively. Also provided are vectors, host cells, antibodies, and recombinant and synthetic methods for producing said polypeptides. The invention further relates to diagnostic and therapeutic methods for applying these novel LTRPC3, LTRPC3b, LTRPC3c, LTRPC3d, LTRPC3e, and LTRPC3f polypeptides to the diagnosis, treatment, and/or prevention of various diseases and/or disorders related to these polypeptides. The invention further relates to screening methods for identifying agonists and antagonists of the polynucleotides and polypeptides of the present invention."
